form_name,field_name,page
Visit Date,Was visit performed?,2
Visit Date,"If No, please provide reason",2
Visit Date,Visit Date,2
Visit Date,Folder OID (auto-populated),2
Visit Date,01.025 GMK (432),2
Visit Date,Units,3
Visit Date,VISREASND $200,3
Visit Date,01.025 GMK (432),3
Unscheduled Visit,Check all that apply,4
Unscheduled Visit,Vital Signs,4
Unscheduled Visit,Vital Signs-Standing,4
Unscheduled Visit,Body Measurements,4
Unscheduled Visit,Physical Exam,4
Unscheduled Visit,Neurological Examination,4
Unscheduled Visit,12-Lead ECG Triplicate,4
Unscheduled Visit,Central Laboratory Sample Collection Summary,4
Unscheduled Visit,Drug Screen Test,4
Unscheduled Visit,Pregnancy Test,4
Unscheduled Visit,Central Laboratory - FSH,4
Unscheduled Visit,PK Plasma Sample,4
Unscheduled Visit,Fluid Biomarkers,4
Unscheduled Visit,Barnes Akathisia Rating Scale,4
Unscheduled Visit,Abnormal Involuntary Movement Scale (AIMS),4
Unscheduled Visit,01.025 GMK (432),4
Unscheduled Visit,Simpson-Angus Scale (SAS),5
Unscheduled Visit,Positive and Negative Syndrome Scale (PANSS),5
Unscheduled Visit,Clinical Global Impression - Severity of Illness,5
Unscheduled Visit,Drug Effects Questionnaire,5
Unscheduled Visit,The Clinician Administered Dissociative States Scale (CADSS),5
Unscheduled Visit,Calgary Depression Scale for Schizophrenia (CDSS),5
Unscheduled Visit,Columbia-Suicide Severity Rating Scale (C-SSRS) Since Last Visit,5
Unscheduled Visit,01.025 GMK (432),5
Unscheduled Visit,Units,6
Unscheduled Visit,UNSVS_BM 1,6
Unscheduled Visit,UNSLB_SU 1,6
Unscheduled Visit,10 UNSLB_PRE,6
Unscheduled Visit,11 UNSLB_FSH1,6
Unscheduled Visit,12 UNSPC,6
Unscheduled Visit,13 UNSMI_FB 1,6
Unscheduled Visit,01.025 GMK (432),6
Unscheduled Visit,Units,7
Unscheduled Visit,14 UNSBARS,7
Unscheduled Visit,15 UNSAIMS,7
Unscheduled Visit,16 UNSSAS,7
Unscheduled Visit,17 UNSPANSS 1,7
Unscheduled Visit,18 UNSCGIS,7
Unscheduled Visit,19 UNSDEQ,7
Unscheduled Visit,20 UNSCADSS 1,7
Unscheduled Visit,21 UNSCDSS,7
Unscheduled Visit,22 UNSCSSRSS,7
Unscheduled Visit,01.025 GMK (432),7
Telephone Follow-up,Was the Post Treatment Follow Up (Telephone call) completed?,8
Telephone Follow-up,"If No, Please provide reason",8
Telephone Follow-up,Date of scheduled follow-up phone call,8
Telephone Follow-up,Were you able to contact the participant?,8
Telephone Follow-up,Date of Contact/Attempt,8
Telephone Follow-up,Contact Attempt,8
Telephone Follow-up,Contact Method,8
Telephone Follow-up,Specify,8
Telephone Follow-up,Has the participant had any new or change in adverse events since the last visit?,8
Telephone Follow-up,Has the participant taken any medications since the last visit?,8
Telephone Follow-up,01.025 GMK (432),8
Telephone Follow-up,Units,9
Telephone Follow-up,FUPREASND$200,9
Telephone Follow-up,FUP_DSYN $1,9
Telephone Follow-up,01.025 GMK (432),9
Telephone Follow-up,Units,10
Telephone Follow-up,10 FUPCMYN,10
Telephone Follow-up,01.025 GMK (432),10
Inclusion/Exclusion Criteria Summary,Initial Informed Consent Date (auto-populated):,11
Inclusion/Exclusion Criteria Summary,Did the participant meet all eligibility criteria?,11
Inclusion/Exclusion Criteria Summary,01.025 GMK (432),11
Inclusion/Exclusion Criteria Summary,Units,12
Inclusion/Exclusion Criteria Summary,01.025 GMK (432),12
Inclusion/Exclusion Criteria,Enter all criteria which were not met below:,13
Inclusion/Exclusion Criteria,Criterion Type,13
Inclusion/Exclusion Criteria,Criterion Identifier,13
Inclusion/Exclusion Criteria,01.025 GMK (432),13
Inclusion/Exclusion Criteria,Units,14
Inclusion/Exclusion Criteria,01.025 GMK (432),14
Demographics,Country (auto-populated),15
Demographics,Participant Status (auto-populated),15
Demographics,Date of Birth,15
Demographics,Age (xxx),15
Demographics,Sex Assigned at Birth:,15
Demographics,Participant currently identifies as:,15
Demographics,Ethnicity,15
Demographics,Race (Check all that apply),15
