form_name,field_name,page
aCRF Approval Form,Sponsor Name,1
aCRF Approval Form,Protocol Number,1
aCRF Approval Form,Protocol Title,1
aCRF Approval Form,aCRF Version,1
aCRF Approval Form,Prepared by,1
aCRF Approval Form,Date,1
Schedule of Assessments,Water Restriction Start,8
Schedule of Assessments,Urine Collection - UA During Interval,8
Schedule of Assessments,AE / CM Review,8
Schedule of Assessments,Study Drug Transfer Log - Combined,8
Schedule of Assessments,ECG/Vital Signs Position,8
Schedule of Assessments,ECG Triplicate (RScribe),8
Schedule of Assessments,Vital Signs - Orthostatic,8
Schedule of Assessments,Blood Collection - PK SEP/PD Creatinine/PGx/ Safety Day 1,8
Schedule of Assessments,Urine Collection - PK - Active Interval Collection (0-2) - Day 1,8
Schedule of Assessments,Investigator Dose Approval,8
Schedule of Assessments,Study Drug Administration - SEP-380135,8
Schedule of Assessments,Blood Collection - PK SEP,8
Schedule of Assessments,ECG Position,8
Schedule of Assessments,ECG (RScribe),8
Schedule of Assessments,Suite Restriction End,8
Schedule of Assessments,Urine Collection - PK - Active Interval Collection (2-4),8
Schedule of Assessments,Urine Collection - PK - Interval End (0-2) – LAB USE ONLY,8
Schedule of Assessments,Blood Collection - PK SEP/PD Creatine,8
Schedule of Assessments,Water Restriction End,8
Schedule of Assessments,Vital Signs Position,8
Schedule of Assessments,Urine Collection - PK - Active Interval Collection (4-8),8
Schedule of Assessments,Urine Collection - PK - Interval End (2-4) – LAB USE ONLY,8
Schedule of Assessments,Blood Collection - PK SEP/PD Creatine/Glucose/Insulin,8
Schedule of Assessments,Lunch Start,8
Schedule of Assessments,Lunch End,8
Schedule of Assessments,Snack Start,9
Schedule of Assessments,Snack End,9
Schedule of Assessments,Stipend Earned,9
Schedule of Assessments,Urine Collection - PK - Interval End (12-24) – LAB USE ONLY,9
Schedule of Assessments,Breakfast Start,9
Schedule of Assessments,Breakfast End,9
Schedule of Assessments,Urine Collection - PK - Active Interval Collection (0-2),10
Schedule of Assessments,Reference Time,10
Schedule of Assessments,Blood Collection - PD Creatinine,11
Schedule of Assessments,Study Drug Administration - Quinidine,11
Schedule of Assessments,Urine Collection - UA,12
Schedule of Assessments,Blood Collection - PK SEP/PK Quinidine/Safety Day 7,12
Schedule of Assessments,Study Drug Administration - Combined,12
