doc,kind,calls,s,tokens_in,tokens_out,cost_usd,method
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,3,18.9,37563,1134,0.1297,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,generate,1,23.653,8034,1135,0.0411,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,revise_audit,2,29.191,4595,2496,0.0512,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,5,42.168,55485,1909,0.1951,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,generate,1,21.687,7931,1064,0.0398,tiktoken:o200k_base
crf_forms_326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,revise_audit,4,79.507,10543,6012,0.1218,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,audit,2,7.856,10132,446,0.0371,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,confirm,1,24.436,2404,1829,0.0346,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,generate,1,28.459,11269,1337,0.0539,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_04_Jul_2023,revise_audit,1,18.654,2286,1672,0.0319,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,audit,3,7.696,20979,586,0.0717,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,confirm,1,34.944,7435,1547,0.0455,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,generate,1,26.101,11654,1150,0.0522,tiktoken:o200k_base
crf_forms_331-201-00246_Annotated_CRF___v_26_Jul_2023,revise_audit,2,34.649,4137,3189,0.0602,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,audit,1,5.659,6918,378,0.0264,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,confirm,1,7.522,3532,244,0.0143,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,generate,1,22.228,6872,1014,0.0358,tiktoken:o200k_base
crf_forms_384-201-00002_Annotated_Unique_CRF_04Nov2024,revise_audit,1,19.43,1738,1425,0.0266,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,generate,1,29.528,10118,1233,0.0488,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,revise_gates,4,108.866,22403,5309,0.1468,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,audit,3,3.724,40677,537,0.1301,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,confirm,1,1.822,5506,4,0.0166,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,generate,1,27.821,9115,1238,0.0459,tiktoken:o200k_base
crf_forms_384-201-00004_Annotated_CRF___v2.0_20_May_2025,revise_audit,2,31.605,3926,2887,0.0551,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,audit,2,4.025,23114,444,0.076,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,confirm,1,7.499,3073,667,0.0192,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,generate,1,20.395,9059,845,0.0399,tiktoken:o200k_base
crf_forms_384-201-00004_aCRF_16JAN2025,revise_audit,1,12.462,1314,1044,0.0196,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,audit,4,27.908,24715,1536,0.0972,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,confirm,1,33.521,4707,1802,0.0412,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,generate,1,27.103,10296,1242,0.0495,tiktoken:o200k_base
crf_forms_MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,revise_audit,3,95.34,8415,8230,0.1487,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,4,22.216,50703,932,0.1661,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,generate,1,18.226,8163,899,0.038,tiktoken:o200k_base
crf_forms_QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,revise_audit,3,49.473,6215,4237,0.0822,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,3,14.619,22499,707,0.0781,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,confirm,1,30.075,5621,1375,0.0375,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,generate,1,25.558,12880,1185,0.0564,tiktoken:o200k_base
crf_forms_annotatedCRF_33120100246-_v1.0_-17Aug2021,revise_audit,2,36.915,4103,3078,0.0585,tiktoken:o200k_base
