form_name,field_name,page
,"Log. Pursuant to Section 11.100 of Title 21 of the Code of Federal Regulations, this is to",1
Visit Date,Was visit performed?,2
Visit Date,"If No, please provide reason",2
Visit Date,Visit Date,2
Visit Date,Folder OID (auto-populated),2
Unscheduled Visit,Check all that apply,4
Unscheduled Visit,Vital Signs,4
Unscheduled Visit,Vital Signs-Standing,4
Unscheduled Visit,Body Measurements,4
Unscheduled Visit,Physical Exam,4
Unscheduled Visit,Neurological Examination,4
Unscheduled Visit,12-Lead ECG Triplicate,4
Unscheduled Visit,Central Laboratory Sample Collection Summary,4
Unscheduled Visit,Drug Screen Test,4
Unscheduled Visit,Pregnancy Test,4
Unscheduled Visit,Central Laboratory - FSH,4
Unscheduled Visit,PK Plasma Sample,4
Unscheduled Visit,Fluid Biomarkers,4
Unscheduled Visit,Barnes Akathisia Rating Scale,4
Unscheduled Visit,Abnormal Involuntary Movement Scale (AIMS),4
Unscheduled Visit,Simpson-Angus Scale (SAS),5
Unscheduled Visit,Positive and Negative Syndrome Scale (PANSS),5
Unscheduled Visit,Clinical Global Impression - Severity of Illness,5
Unscheduled Visit,Drug Effects Questionnaire,5
Unscheduled Visit,The Clinician Administered Dissociative States Scale,5
Unscheduled Visit,(CADSS),5
Unscheduled Visit,Calgary Depression Scale for Schizophrenia (CDSS),5
Unscheduled Visit,Columbia-Suicide Severity Rating Scale (C-SSRS) Since,5
Unscheduled Visit,Last Visit,5
Telephone Follow-up,Was the Post Treatment Follow Up (Telephone call),8
Telephone Follow-up,completed?,8
Telephone Follow-up,"If No, Please provide reason",8
Telephone Follow-up,Date of scheduled follow-up phone call,8
Telephone Follow-up,Were you able to contact the participant?,8
Telephone Follow-up,Date of Contact/Attempt,8
Telephone Follow-up,Contact Attempt,8
Telephone Follow-up,Contact Method,8
Telephone Follow-up,Specify,8
Telephone Follow-up,Has the participant had any new or change in adverse,8
Telephone Follow-up,events since the last visit?,8
Telephone Follow-up,Has the participant taken any medications since the last,8
Telephone Follow-up,visit?,8
Inclusion/Exclusion Criteria Summary,Initial Informed Consent Date (auto-populated):,11
Inclusion/Exclusion Criteria Summary,Did the participant meet all eligibility criteria?,11
Inclusion/Exclusion Criteria,Enter all criteria which were not met below:,13
Inclusion/Exclusion Criteria,Criterion Type,13
Inclusion/Exclusion Criteria,Criterion Identifier,13
Demographics,Country (auto-populated),15
Demographics,Participant Status (auto-populated),15
Demographics,Date of Birth,15
Demographics,Age (xxx),15
Demographics,Sex Assigned at Birth:,15
Demographics,Participant currently identifies as:,15
Demographics,Gender Non-Conforming,15
Demographics,Ethnicity,15
Demographics,Not Hispanic or Latino,15
Demographics,Race (Check all that apply),15
Demographics,American Indian or Alaska Native,15
Demographics,Asian,16
Demographics,Black or African American,16
Demographics,Native Hawaiian or Other Pacific Islander,16
Demographics,White,16
Demographics,Not Reported,16
Demographics,Unknown,16
Demographics,Other Race,16
Demographics,Specify Other Race,16
Demographics,Was participant previously screened?,16
Demographics,Previous Participant Number,16
Childbearing Potential,Is participant of childbearing potential?,20
Childbearing Potential,"If No, reason",20
Childbearing Potential,"If Post-menopausal, date of last menstruation",20
Childbearing Potential,"Other, specify",20
Childbearing Potential,Does the Subject agree not to donate sperm or eggs,20
Childbearing Potential,from trial screening through 90 days after last dose of,20
Childbearing Potential,List at minimum two birth control methods used,20
Childbearing Potential,"Azoospermic partner (vasectomized, Bilateral",20
Childbearing Potential,orchiectomy or due to a medical cause,20
Childbearing Potential,Implantable progestogen-only hormone contraception,20
Childbearing Potential,Intrauterine device (non hormonal),20
Childbearing Potential,Intrauterine hormone-releasing system,20
Childbearing Potential,Combined (estrogen- and progestogen-containing),20
Childbearing Potential,hormonal contraception,20
Childbearing Potential,Condom,20
Childbearing Potential,Sponge,20
Childbearing Potential,Occlusive cap (vaginal diaphragm or cervical/vault cap),21
Childbearing Potential,Progestogen-only hormone,21
Childbearing Potential,Abstinence from sexual activity with the potential for,21
Childbearing Potential,conception,21
Childbearing Potential,Sterile Partner,21
Childbearing Potential,Other,21
Childbearing Potential,"Other, specify",21
Childbearing Potential,Month and Year of last menstruation (auto-populated),21
Childbearing Potential,Year of last menstruation (auto-populated),21
Medical History Summary,Has the participant experienced any past and / or,25
Medical History Summary,concomitant diseases or past surgeries?,25
Medical History,Enter all relevant medical history below:,27
Medical History,Medical Condition or Event,27
Medical History,Is disease/condition under control?,27
Medical History,Start Date,27
Medical History,Ongoing?,27
Medical History,End Date,27
Medical History,Start Month and Year (auto-populated),27
Medical History,Start Year (auto-populated),27
Medical History,End Month and Year (auto-populated),27
Medical History,End Year (auto-populated),27
Randomization,Was participant randomized?,29
Randomization,Randomization Date,29
Randomization,Randomization Time,29
Randomization,Randomization Assignment,29
Randomization,Randomization Number,29
Randomization,Randomization Date for Tagging (auto-populated),29
Body Measurements,Were vital signs performed?,31
Body Measurements,"If No, please provide reason",31
Body Measurements,Height (xxx.x),31
Body Measurements,Weight (xxx.x),31
Body Measurements,BMI (auto-populated),31
Body Measurements,Waist Circumference (xxx.xx),31
Body Measurements,Date/Time (auto-populated),31
Vital Signs,Were vital signs performed?,33
Vital Signs,"If No, please provide reason",33
Vital Signs,Respiratory Rate (xxx),33
Vital Signs,Temperature (xxx.x),33
Vital Signs,Time participant placed in position,33
Vital Signs,Position,33
Vital Signs,Systolic Blood Pressure (xxx),33
Vital Signs,Diastolic Blood Pressure (xxx),33
Vital Signs,Pulse (xxx),34
Vital Signs,Date/Time (auto-populated),34
Vital Signs,BP Alert (hidden),34
Vital Signs,HR Alert (hidden),34
Vital Signs Log,Were vital signs performed?,37
Vital Signs Log,"If No, please provide reason",37
Vital Signs Log,Time Point,37
Vital Signs Log,Respiratory Rate (xxx),37
Vital Signs Log,Temperature (xxx.x),37
Vital Signs Log,Time participant placed in position,37
Vital Signs Log,Position,37
Vital Signs Log,Systolic Blood Pressure (xxx),38
Vital Signs Log,Diastolic Blood Pressure (xxx),38
Vital Signs Log,Pulse (xxx),38
Vital Signs Log,Date/Time (auto-populated),38
Vital Signs Log,BP Alert (hidden),38
Vital Signs Log,HR Alert (hidden),38
Vital Signs - Standing,Were vital signs performed?,41
Vital Signs - Standing,"If No, please provide reason",41
Vital Signs - Standing,Time participant placed in position,41
Vital Signs - Standing,Position,41
Vital Signs - Standing,Systolic Blood Pressure (xxx),41
Vital Signs - Standing,Diastolic Blood Pressure (xxx),41
Vital Signs - Standing,Pulse (xxx),41
Vital Signs - Standing,Date/Time (auto-populated),41
Vital Signs - Standing,BP Alert (hidden),42
Vital Signs - Standing,HR Alert (hidden),42
Vital Signs Log - Standing,Were vital signs performed?,45
Vital Signs Log - Standing,"If No, please provide reason",45
Vital Signs Log - Standing,Time Point,45
Vital Signs Log - Standing,Time participant placed in position,45
Vital Signs Log - Standing,Position,45
Vital Signs Log - Standing,Systolic Blood Pressure (xxx),45
Vital Signs Log - Standing,Diastolic Blood Pressure (xxx),45
Vital Signs Log - Standing,Pulse (xxx),46
Vital Signs Log - Standing,Date/Time (auto-populated),46
Vital Signs Log - Standing,BP Alert (hidden),46
Vital Signs Log - Standing,HR Alert (hidden),46
Physical Examination,Was the physical examination performed?,49
Physical Examination,"If No, provide reason not done",49
Physical Examination,Exam Date,49
Physical Examination,Exam Time,49
Physical Examination,Date/Time of Physical Exam (auto-populated),49
Physical Examination,Body System Examined,49
Physical Examination,Head / Eyes / Ears / Nose /,49
Physical Examination,Examination Result,49
Physical Examination,Description of abnormal findings,49
Physical Examination,Clinically Significant,49
Physical Examination,"At Screening, record any abnormalities in the Medical History CRF.",50
