doc,stage,version,severity,code,detail
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Photo ID #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Group Information: Group Info Session #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Group Information: Group info held by #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Study ICF Database Check #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Study ICF Participant  #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p1: Informed Consent: Study ICF Date #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent: Study ICF Signed by Physician/Nurse #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent: Study ICF copy #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Consented to Additional ICF #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Add ICF Participant #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p3: Informed Consent Addition: Add ICF Date #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Haematology #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Haematology Medic Assessment #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology Medic Assessment #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology (Including Serum Pregnancy Test) #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,p28: Safety: Chemistry and Virology/Serum Preg Medic Assessment #1
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,"p59: A potentially self-injurious act committed with at least some wish to die, as a result of act."
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,1,quality,audit_false_positive,"p59: Behaviour was in part thought of as method to kill oneself. Intent does not have to be 100%. If there is any intent/desire to die associated with the act, then it can be considered an actual suicide attempt. There does not have to be any injury or harm, just the potential for injury or harm. If"
