doc,stage,version,severity,code,detail
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,1,quality,audit_false_positive,p2: (Version must be checked against ICF present in the RSF – escalate any discrepancies)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,1,quality,audit_false_positive,p3: where a DNA sample will be taken and other data collected may be used for potential future research?
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,1,quality,audit_false_positive,p172: send sample for Microscopy)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,2,quality,audit_missed,p2: (Version must be checked against ICF present in the RSF – escalate any discrepancies)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,2,quality,audit_false_positive,p3: where a DNA sample will be taken and other data collected may be used for potential future research?
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,2,quality,audit_false_positive,p172: send sample for Microscopy)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,3,quality,audit_missed,p3: where a DNA sample will be taken and other data collected may be used for potential future research?
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,3,quality,audit_missed,p172: send sample for Microscopy
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,4,quality,audit_missed,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study, where a DNA sample will be taken and other data collected may be used for potential future research?"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,4,quality,audit_false_positive,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study,"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,4,quality,audit_missed,"p172: Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No', send sample for Microscopy)"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,4,quality,audit_false_positive,"p172: Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_false_positive,p2: (Version must be checked against ICF present in the RSF – escalate any discrepancies)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_missed,p3: where a DNA sample will be taken and other data collected may be used for potential future
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_missed,p3: research?
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_false_positive,"p3: Has the participant read, understood and signed the consent for the Future Use Sub Study,"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_missed,p172: send sample for Microscopy)
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,5,quality,audit_false_positive,"p172: Is participant female and menstruating? (If 'Yes', DO NOT send sample for Microscopy. If 'No',"
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,loop,,quality,stopped_with_open_issues,"stop=plateau, open audit issues=2"
