doc,kind,calls,s,tokens_in,tokens_out,cost_usd,method
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,5,76.234,69505,1990,0.2384,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,confirm,2,54.159,8427,2042,0.0559,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,generate,2,61.209,18945,2015,0.0871,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,revise_audit,3,86.811,8691,5241,0.1047,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,revise_gates,1,21.418,1402,1101,0.0207,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,7,87.369,92447,2148,0.3096,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,confirm,1,15.666,3432,240,0.0139,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,generate,2,60.337,18600,2127,0.0877,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,revise_audit,5,121.904,12945,6860,0.1417,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,audit,10,157.272,103329,6107,0.4016,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,confirm,2,52.735,16251,1726,0.0746,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,generate,2,78.932,29087,2976,0.1319,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,revise_audit,8,448.185,71551,20070,0.5157,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,audit,9,145.667,101017,4303,0.3676,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,confirm,2,55.921,14350,1795,0.07,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,generate,2,75.103,29183,2762,0.129,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,revise_audit,7,362.502,51011,16508,0.4007,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,audit,4,46.523,33997,1082,0.1182,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,confirm,1,11.154,2791,152,0.0107,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,generate,1,29.47,7818,1080,0.0397,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,revise_audit,3,82.749,10407,4679,0.1014,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,revise_gates,1,30.481,4896,1122,0.0315,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,3,35.845,40749,787,0.1341,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,confirm,1,41.401,8709,1443,0.0478,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,generate,1,37.098,21750,1197,0.0832,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,revise_audit,3,115.99,16608,5170,0.1274,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,audit,6,72.319,93899,1620,0.306,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,confirm,2,31.18,9577,469,0.0358,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,generate,2,49.913,22467,1650,0.0922,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,revise_audit,4,137.363,25056,5424,0.1565,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,audit,5,59.532,59803,1316,0.1991,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,confirm,2,55.945,10649,1982,0.0617,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,generate,2,60.837,18294,2158,0.0873,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,revise_audit,3,142.033,29190,6346,0.1828,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,audit,8,114.428,122650,3616,0.4222,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,confirm,2,59.432,14248,2139,0.0748,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,generate,2,60.783,29865,2096,0.121,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,revise_audit,6,186.96,26700,9273,0.2192,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,7,111.009,118662,3142,0.4031,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,confirm,1,13.519,3479,173,0.013,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,generate,2,60.038,18445,2130,0.0873,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,revise_audit,5,155.711,15465,9240,0.185,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,6,88.365,66755,2752,0.2415,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,confirm,2,81.622,15855,3247,0.0963,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,generate,2,78.839,42617,3342,0.178,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,revise_audit,4,208.824,37271,9159,0.2492,tiktoken:o200k_base
