doc,kind,calls,s,tokens_in,tokens_out,cost_usd,method
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,audit,8,448.858,82218,1544,0.2698,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,confirm,1,155.042,6203,3653,0.0734,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,generate,2,238.672,18945,5521,0.1396,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024,revise_audit,6,637.999,23204,19747,0.3658,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,audit,4,448.512,65981,2747,0.2391,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,generate,2,326.464,18600,6172,0.1484,tiktoken:o200k_base
326-201-00007_Annotated_CRF___v1.0_30_Sep_2024_1_,revise_audit,2,431.714,11041,10356,0.1885,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,audit,9,584.077,90482,4689,0.3418,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,confirm,2,200.65,15066,5961,0.1346,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,generate,2,416.558,29087,7622,0.2016,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_04_Jul_2023,revise_audit,7,1741.257,79356,53400,1.0391,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,audit,8,395.073,84562,3009,0.2988,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,confirm,2,210.947,11242,6470,0.1308,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,generate,2,436.55,29183,5816,0.1748,tiktoken:o200k_base
331-201-00246_Annotated_CRF___v_26_Jul_2023,revise_audit,6,883.644,56394,35894,0.7076,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,audit,2,73.428,13270,511,0.0475,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,confirm,1,37.643,5582,5,0.0168,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,generate,1,163.938,7818,2995,0.0684,tiktoken:o200k_base
384-201-00002_Annotated_Unique_CRF_04Nov2024,revise_audit,1,158.441,6146,3555,0.0718,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,audit,5,199.028,61149,1120,0.2002,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,confirm,1,19.091,8968,5,0.027,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,generate,1,154.211,21750,3411,0.1164,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v1.0_05_Mar_2025,revise_audit,4,546.041,37097,25527,0.4942,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,audit,6,136.618,44983,936,0.149,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,confirm,2,25.946,12512,10,0.0377,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,generate,2,200.416,22467,3837,0.125,tiktoken:o200k_base
384-201-00004_Annotated_CRF___v2.0_20_May_2025,revise_audit,4,535.41,29946,14968,0.3144,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,audit,6,288.417,87619,1350,0.2831,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,confirm,2,24.437,5786,10,0.0175,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,generate,2,202.237,18294,3569,0.1084,tiktoken:o200k_base
384-201-00004_aCRF_16JAN2025,revise_audit,4,549.854,15418,11723,0.2221,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,audit,7,744.566,129218,4510,0.4553,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,confirm,2,201.818,18445,8864,0.1883,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,generate,2,373.19,29865,8161,0.212,tiktoken:o200k_base
MAC186_X11-201-00001_eCRF_v1.10_form_tracker_v1.6_06Mar2025,revise_audit,5,1189.244,54617,40176,0.7665,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,audit,6,702.934,124973,5350,0.4552,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,generate,2,327.693,18445,5624,0.1397,tiktoken:o200k_base
QSC302573_Final_AnnotatedCRFs_16Oct2024-326-201-00007_1_,revise_audit,4,802.159,28638,24635,0.4554,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,audit,10,861.937,108122,5393,0.4053,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,confirm,2,183.035,12947,2876,0.082,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,generate,2,523.42,42617,6292,0.2222,tiktoken:o200k_base
annotatedCRF_33120100246-_v1.0_-17Aug2021,revise_audit,7,1295.953,65320,43371,0.8465,tiktoken:o200k_base
